Date,Close/Last,Volume,Open,High,Low
05/20/2021,28240,4870,27945,28330,27795
05/19/2021,27945,6792,28045,28225,27605
05/18/2021,28135,4729,27785,28495,27770
05/17/2021,27795,5378,28305,28355,27635
05/14/2021,28315,5107,27720,28330,27715
05/13/2021,27705,11807,27735,27735,27695
05/12/2021,27750,12095,27895,27935,27665
05/11/2021,28625,10194,28640,28650,28570
05/10/2021,29280,4051,29395,29400,29240
05/07/2021,29420,3530,29390,29440,29400
05/06/2021,29370,4596,29040,29385,29230
05/05/2021,29090,2534,28715,29100,29025
05/04/2021,28735,360,29085,28755,28650
05/03/2021,29120,2368,28960,29150,29060
04/30/2021,28865,4117,29030,28975,28805
04/29/2021,29090,3099,28940,29100,29030
04/28/2021,28955,4883,29015,29155,28890
04/27/2021,29070,4445,29215,29290,28850
04/26/2021,29250,3192,29205,29260,29215
04/23/2021,29225,3048,28910,29330,28780
04/22/2021,28935,5080,28900,29145,28865
04/21/2021,28910,6258,28605,28920,28430
04/20/2021,28650,6403,29355,29425,28540
04/19/2021,29355,8190,29790,29830,29210
04/16/2021,29810,3947,29770,29850,29630
04/15/2021,29770,4749,29670,29785,29745
04/14/2021,29620,5190,29840,29660,29615
04/13/2021,29850,4639,29620,29920,29580
04/12/2021,29640,3200,29935,30010,29560
04/09/2021,29945,4778,29785,30100,29775
04/08/2021,29720,3545,29710,29800,29535
04/07/2021,29710,4175,29675,29735,29610
04/06/2021,29705,5727,30290,29710,29645
04/05/2021,30205,3769,30060,30270,30005
04/01/2021,29695,4211,29385,29745,29335
03/31/2021,29370,4353,29340,29460,29165
03/30/2021,29405,5645,29455,29560,29310
03/29/2021,29360,7874,29445,29470,29035
03/26/2021,29435,7240,28945,29485,28805
03/25/2021,28885,9100,28300,28935,28775
03/24/2021,28360,8092,28730,28735,28135
03/23/2021,28710,5221,29125,28720,28650
03/22/2021,29145,6822,29310,29330,28755
03/19/2021,29375,9455,29765,29905,28950
03/18/2021,29760,6624,29855,30345,29750
03/17/2021,29840,3770,29745,29885,29660
03/16/2021,29725,3852,29695,29890,29600
03/15/2021,29660,3965,29575,29750,29445
03/12/2021,29570,5867,29210,29625,29065
03/11/2021,29145,7381,28995,29240,28870
03/10/2021,29105,7004,29205,29265,28965
03/09/2021,29220,11662,28845,29285,28620
03/08/2021,28835,17013,29235,29470,28565
03/05/2021,29175,11534,28900,29220,28610
03/04/2021,28910,11024,29335,29175,28775
03/03/2021,29275,7431,29530,29765,29255
03/02/2021,29520,7728,29930,30030,29315
03/01/2021,29905,6097,29285,29935,29280
02/26/2021,29285,11191,29585,29310,29200
02/25/2021,29620,7021,30065,29915,29505
02/24/2021,30065,7319,30015,30120,30050
02/23/2021,30005,5066,29995,30140,29650
02/22/2021,29990,6387,30205,30175,29980
02/19/2021,30205,6346,30135,30235,30160
02/18/2021,30130,7596,30355,30145,30025
02/17/2021,30350,6493,30450,30435,30155
02/16/2021,30415,12225,29645,30450,30400
02/12/2021,29625,3740,29490,29655,29595
02/11/2021,29465,1856,29320,29495,29235
02/10/2021,29270,5805,29445,29560,29175
02/09/2021,29420,3624,29515,29590,29350
02/08/2021,29445,6946,28810,29535,28810
02/05/2021,28765,3968,28655,28900,28535
02/04/2021,28620,3815,28610,28680,28295
02/03/2021,28585,3326,28480,28725,28405
02/02/2021,28490,5222,28265,28520,28080
02/01/2021,28300,7792,27720,28310,27575
01/29/2021,27785,11770,28390,27825,27680
01/28/2021,28410,7445,28195,28495,28355
01/27/2021,28195,6502,28720,28255,28095
01/26/2021,28720,4090,28825,28825,28515
01/25/2021,28840,5329,28630,28855,28480
01/22/2021,28625,3987,28690,28700,28410
01/21/2021,28680,5033,28705,28695,28525
01/20/2021,28725,7564,28760,28735,28615
01/19/2021,28735,9704,28300,28800,28120
01/15/2021,28350,6904,28850,28925,28170
01/14/2021,28875,8418,28450,28960,28825
01/13/2021,28465,5478,28180,28520,28440
01/12/2021,28215,4341,28075,28230,28100
01/11/2021,28045,6731,28335,28270,27965
01/08/2021,28315,7319,27615,28380,27615
01/07/2021,27625,4323,27365,27675,27330
01/06/2021,27340,9294,27165,27480,26955
01/05/2021,27160,5115,27145,27275,26965
01/04/2021,27125,8337,27585,27685,27040
12/31/2020,27535,1526,27490,27585,27430
12/30/2020,27435,4120,27530,27630,27350
12/29/2020,27515,6098,26930,27715,26895
12/28/2020,26925,2722,26595,26955,26545
12/24/2020,26635,1186,26670,26720,26570
12/23/2020,26670,3516,26525,26725,26390
12/22/2020,26585,3190,26530,26620,26335
12/21/2020,26545,6222,26895,27000,26195
12/18/2020,26740,2507,26805,26920,26680
12/17/2020,26785,2283,26795,26835,26650
12/16/2020,26790,2642,26800,26845,26690
12/15/2020,26795,2901,26645,26810,26575
12/14/2020,26690,4294,26680,26750,26645
12/11/2020,26565,3842,26700,26610,26535
12/10/2020,26685,3668,26615,26820,26595
12/09/2020,26685,8997,26570,26910,26510
12/08/2020,26575,11050,26365,26580,26320
12/07/2020,26435,12065,26850,26500,26340
12/04/2020,26855,4618,26765,26875,26655
12/03/2020,26725,4553,26875,26920,26700
12/02/2020,26830,6196,26885,26915,26690
12/01/2020,26910,6640,26515,26970,26460
11/30/2020,26315,6940,26825,26940,26305
11/27/2020,26785,5277,26360,26815,26265
11/25/2020,26310,6593,26460,26715,26190
11/24/2020,26475,6413,25935,26530,26440
11/23/2020,25940,3866,25705,26010,25925
11/20/2020,25745,4000,25505,25770,25675
11/19/2020,25610,5907,25600,25685,25415
11/18/2020,25645,4581,25940,25885,25565
11/17/2020,26015,4749,26150,26180,25870
11/16/2020,26180,7451,25675,26220,25650
11/13/2020,25635,7611,25380,25680,25225
11/12/2020,25300,7740,25560,25590,25230
11/11/2020,25600,8137,25300,25715,25170
11/10/2020,25240,8868,25420,25370,25225
11/09/2020,25450,21338,24420,25910,24365
11/06/2020,24340,6305,24250,24470,24090
11/05/2020,24275,7738,24015,24280,24175
11/04/2020,23905,16022,23845,24075,23880
11/03/2020,23855,5312,23455,23920,23815
11/02/2020,23435,5420,23135,23455,23060
10/30/2020,23165,6453,23235,23310,22885
10/29/2020,23315,4512,23075,23405,23075
10/28/2020,23075,8349,23395,23190,23070
10/27/2020,23360,3969,23430,23535,23245
10/26/2020,23425,3714,23550,23570,23365
10/23/2020,23565,3177,23600,23620,23465
10/22/2020,23600,5331,23600,23620,23540
10/21/2020,23570,3678,23605,23700,23535
10/20/2020,23610,3217,23585,23620,23560
10/19/2020,23520,4178,23545,23745,23505
10/16/2020,23535,3359,23535,23580,23395
10/15/2020,23525,5095,23560,23595,23380
10/14/2020,23570,4384,23560,23670,23530
10/13/2020,23535,5164,23670,23690,23500
